video_name,question_id,question,answer,type
d_A-ylxNbFU,v_d_A-ylxNbFU_6,is the person in the video a chinese,no,3
cVFVREeD6hM,v_cVFVREeD6hM_7,is the person in the video a chinese,no,3
cTxVTEzQDr8,v_cTxVTEzQDr8_9,is the person in the video a chinese,no,3
JGPhQX97OSE,v_JGPhQX97OSE_2,is the person on the court indoors,yes,3
JGPhQX97OSE,v_JGPhQX97OSE_3,is the person on the court outdoors,no,3
rSGboODhu04,v_rSGboODhu04_3,is the person standing outdoors,no,3
RXDVJlb97OI,v_RXDVJlb97OI_3,is the person standing outdoors,no,3
kD_EJjQCLoY,v_kD_EJjQCLoY_3,is the person standing outdoors,no,3
jhy6npIdn5o,v_jhy6npIdn5o_3,is the person standing outdoors,no,3
SjlILJ2st-I,v_SjlILJ2st-I_3,is the player indoors,no,3
2CegApogJd4,v_2CegApogJd4_3,is the person playing dodgeball outdoors,no,3
fbr7v8RMkf8,v_fbr7v8RMkf8_7,are there many people in the ski resort,yes,3
fh21bbDSVmA,v_fh21bbDSVmA_8,are there many people in the stands,no,3
dGT_KGb0gyw,v_dGT_KGb0gyw_8,are they indoors,yes,3
chmegNbBTNc,v_chmegNbBTNc_9,is it day or night in the video,day,8
40BPDWojssc,v_40BPDWojssc_3,is the person in black wearing a hat,no,3
mXqmRAUsn9U,v_mXqmRAUsn9U_2,is the person in blue wearing a hat,yes,3
ys4_S3JHQjs,v_ys4_S3JHQjs_2,is the person in blue wearing a hat,yes,3
DUi-hLMpQQo,v_DUi-hLMpQQo_2,is the person in blue wearing a hat,yes,3
AguxVxEWEs0,v_AguxVxEWEs0_10,is the person in blue wearing a watch,no,3
62M1FRXsUiM,v_62M1FRXsUiM_10,is the person in blue wearing a watch,no,3
xMNmGr96O9U,v_xMNmGr96O9U_2,is the person in gray wearing a hat,yes,3
dN8LBey17O8,v_dN8LBey17O8_7,is the person in gray wearing a hat,yes,3
Ye_uVlSo1HI,v_Ye_uVlSo1HI_2,is the person in gray wearing a hat,yes,3
AjizhJc_reI,v_AjizhJc_reI_2,is the person in pink wearing a hat,yes,3
ZAX6OojMg38,v_ZAX6OojMg38_2,is the person in red wearing a hat,yes,3
_V62aT_K8Zw,v__V62aT_K8Zw_2,does the person wearing a hat have a long beard,yes,3
TXSOSSGJYO0,v_TXSOSSGJYO0_3,is the person in gray wearing a hat,no,3
U2cCOj3LiAA,v_U2cCOj3LiAA_3,is the person in the video wearing a hat,no,3
LWt2FuU0uC4,v_LWt2FuU0uC4_2,is the athlete wearing shorts,yes,3
LzPppxSWYNY,v_LzPppxSWYNY_2,is the athlete wearing shorts,yes,3
LWt2FuU0uC4,v_LWt2FuU0uC4_3,is the athlete wearing pant,no,3
LzPppxSWYNY,v_LzPppxSWYNY_3,is the athlete wearing pant,no,3
EDDbcCBnTQM,v_EDDbcCBnTQM_2,does the man wear sunglasses,yes,3
GSrBZXLSwWI,v_GSrBZXLSwWI_2,is the person in a black t-shirt wearing hat,yes,3
1YU4MSK80cQ,v_1YU4MSK80cQ_3,is the person in a black vest playing outdoors,no,3
1YU4MSK80cQ,v_1YU4MSK80cQ_2,is the person in a black vest playing outdoors,yes,3
4_jDgRsOGvY,v_4_jDgRsOGvY_2,is the man in black wearing a hat ,yes,3
28WDlVOgslg,v_28WDlVOgslg_6,is the man in black wearing glasses,yes,3
40BPDWojssc,v_40BPDWojssc_2,is the man in black wearing glasses,yes,3
otMw5GJWYWs,v_otMw5GJWYWs_3,is the man in black wearing glasses,no,3
ojTFTIwsa_c,v_ojTFTIwsa_c_3,is the man in black wearing glasses,no,3
gsQ-OEvrxjo,v_gsQ-OEvrxjo_10,is the man in black wearing glasses,yes,3
_kmjpSZb3OI,v__kmjpSZb3OI_2,is the man in black wearing glasses,yes,3
X6CBZwwRdQQ,v_X6CBZwwRdQQ_2,is the man in black wearing glasses,yes,3
ojTFTIwsa_c,v_ojTFTIwsa_c_2,does the person in black wear a hat,yes,3
xMNmGr96O9U,v_xMNmGr96O9U_10,does the person in black wear a hat,no,3
xND_kp-aYXw,v_xND_kp-aYXw_3,does the person in black wear a hat,no,3
X6CBZwwRdQQ,v_X6CBZwwRdQQ_3,does the person in black wear a hat,no,3
96vBhCFBbQk,v_96vBhCFBbQk_3,is the person in blue wearing earrings,no,3
16czjUF1AA4,v_16czjUF1AA4_7,is the person in blue wearing earrings,yes,3
mXqmRAUsn9U,v_mXqmRAUsn9U_3,is the person in blue wearing glasses,no,3
DUi-hLMpQQo,v_DUi-hLMpQQo_3,is the person in blue wearing glasses,no,3
uJ4OZfCjViM,v_uJ4OZfCjViM_3,is the person in blue wearing shoes,no,3
pVoM_kUQ4_E,v_pVoM_kUQ4_E_6,is the person in blue wearing sunglasses,yes,3
TGffgRXc1eQ,v_TGffgRXc1eQ_3,is the person in blue wear a watch on his right hand,no,3
xMNmGr96O9U,v_xMNmGr96O9U_3,is the person in gray wearing glasses,no,3
Ye_uVlSo1HI,v_Ye_uVlSo1HI_3,is the person in gray wearing glasses,no,3
mkGUacg0GRc,v_mkGUacg0GRc_3,is the person in gray wearing long sleeves,no,3
LYTWYSqsTCE,v_LYTWYSqsTCE_3,is the person in gray wearing long sleeves,no,3
mkGUacg0GRc,v_mkGUacg0GRc_2,is the person in gray wearing short sleeves,yes,3
LYTWYSqsTCE,v_LYTWYSqsTCE_2,is the person in gray wearing short sleeves,yes,3
0w4OkBenR_k,v_0w4OkBenR_k_3,is the person in purple wearing trousers,no,3
nP1Bk-vJgVg,v_nP1Bk-vJgVg_3,is the person in purple wearing trousers,no,3
hxErUs42bBI,v_hxErUs42bBI_2,is the person in red wearing a hat,yes,3
mSR-HpiJ0No,v_mSR-HpiJ0No_2,is the person in red wearing earrings,yes,3
0q9yZPTBbus,v_0q9yZPTBbus_2,is the person in red wearing earrings,yes,3
9k19UUJtldg,v_9k19UUJtldg_9,is the person in red wearing glasses,no,3
x6pYeqq3O08,v_x6pYeqq3O08_2,is the person in red wearing glasses,yes,3
XxW4XWySzOw,v_XxW4XWySzOw_10,is the person in red wearing glasses,no,3
ZAX6OojMg38,v_ZAX6OojMg38_3,is the person in red wearing glasses,no,3
mSR-HpiJ0No,v_mSR-HpiJ0No_3,is the person in red wearing a hat,no,3
390iVq_urQM,v_390iVq_urQM_2,is the person in red wearing a hat,yes,3
x6pYeqq3O08,v_x6pYeqq3O08_3,is the person in red wearing a hat,no,3
p1QGn0IzfW0,v_p1QGn0IzfW0_2,is the person in red wearing t-shirt,yes,3
cYvFlrAnlzA,v_cYvFlrAnlzA_6,is the person in white wearing a hat,no,3
-eJT11AuOa0,v_-eJT11AuOa0_8,is the person in white wearing a hat,yes,3
X52XHYKeLiE,v_X52XHYKeLiE_3,is the person in white wearing glasses,no,3
nYl_tYmijlM,v_nYl_tYmijlM_2,is the person in white wearing glasses,yes,3
NDq29HQJVP0,v_NDq29HQJVP0_3,is the person in white wearing glasses,no,3
xizEiQZfJa4,v_xizEiQZfJa4_3,is the person in white wearing gloves,no,3
X52XHYKeLiE,v_X52XHYKeLiE_2,is the person in white wearing gloves,yes,3
1494UwmvAJM,v_1494UwmvAJM_3,is the person in white wearing a hat,no,3
NDq29HQJVP0,v_NDq29HQJVP0_2,is the person in white wearing a hat,yes,3
mnNgZ-D5cKc,v_mnNgZ-D5cKc_2,is the person in white wearing a hat,yes,3
lUmjnFf7IPQ,v_lUmjnFf7IPQ_3,is the person in white wearing long sleeves,no,3
lUmjnFf7IPQ,v_lUmjnFf7IPQ_2,is the person in white wearing short sleeves,yes,3
Oh3-DvDCpZ4,v_Oh3-DvDCpZ4_3,is the person in white wearing a watch,no,3
836UrVGw6GI,v_836UrVGw6GI_3,is the person in white wearing a watch,no,3
y0ca-LbQErY,v_y0ca-LbQErY_2,is the person in white wearing a watch,yes,3
QIUxLD27NuI,v_QIUxLD27NuI_2,is the person in white wearing glasses,yes,3
i5qTK0mInTc,v_i5qTK0mInTc_2,is the person in white wearing glasses,yes,3
hQqoh0YxJYs,v_hQqoh0YxJYs_2,is the person in yellow wearing a hat,yes,3
zYjLA99koBk,v_zYjLA99koBk_6,is the person in yellow wearing a hat,yes,3
udSHsodv3gY,v_udSHsodv3gY_2,is the person in the video wearing glasses,yes,3
d_A-ylxNbFU,v_d_A-ylxNbFU_9,is the person in the video wearing glasses,no,3
aPI0nPvzJlE,v_aPI0nPvzJlE_7,is the person in the video wearing glasses,no,3
QXN6odBnVmI,v_QXN6odBnVmI_7,is the person in a black t-shirt wearing a hat,no,3
Znb6Y9m_PsQ,v_Znb6Y9m_PsQ_8,is the person in a black t-shirt wearing a hat,no,3
qgUHRwC3194,v_qgUHRwC3194_7,is the person in a white t-shirt wearing a hat,no,3
ZLG1Exv8HrY,v_ZLG1Exv8HrY_9,is the person in a white t-shirt wearing a hat,no,3
-pK2JheWido,v_-pK2JheWido_10,do the skier have any safety measure,no,3
_jIXs7AFTxw,v__jIXs7AFTxw_3,is the person in white wearing a hat,no,3
Db9VWkgMpbE,v_Db9VWkgMpbE_10,is the woman in the video wearing glasses,no,3
v6DdLg_Xnkg,v_v6DdLg_Xnkg_2,do both hands been used when wearing the contact lenses,yes,3
iZT4XgzUHm4,v_iZT4XgzUHm4_3,does the computer been used when reparing the bicycle,no,3
V9mLJJn8Lvw,v_V9mLJJn8Lvw_3,does the pen been used during packing the book,no,3
iAes5SVj_Fg,v_iAes5SVj_Fg_3,does the pen been used during fight,no,3
vBOFzuS-Djo,v_vBOFzuS-Djo_3,does the pen been used during diving,no,3
i_LT0ef1n-Y,v_i_LT0ef1n-Y_3,does the pen been used during skateboarding,no,3
V9mLJJn8Lvw,v_V9mLJJn8Lvw_2,does packing book need paper,yes,3
iAes5SVj_Fg,v_iAes5SVj_Fg_2,does fighting need arm strength,yes,3
G25py7yEVyo,v_G25py7yEVyo_3,is the person in white shaking hands outdoors,no,3
G25py7yEVyo,v_G25py7yEVyo_2,is the person in white shaking hands outdoors,yes,3
8_fjIZkNHms,v_8_fjIZkNHms_2,does fishing need arm strength,yes,3
7vcihMnmssI,v_7vcihMnmssI_2,does fishing need arm strength,yes,3
7LbBmVX33I4,v_7LbBmVX33I4_2,does makeup need arm strength,yes,3
qObVIn_GI10,v_qObVIn_GI10_2,is the person in the video wearing a ring on the left hand,yes,3
uLphvdhunTY,v_uLphvdhunTY_3,is the person in the video wearing a watch with the left hand,no,3
0jdSl5-lMpY,v_0jdSl5-lMpY_2,is the person in the video wearing a watch with the left hand,yes,3
zYjLA99koBk,v_zYjLA99koBk_10,does the boating scene take place indoors or outdoors,outdoor,6
7IwHwDuQdyU,v_7IwHwDuQdyU_2,does this sport need leg strength ,yes,3
QX5e5Mla660,v_QX5e5Mla660_3,is the person in green wearing a hat,no,3
hxErUs42bBI,v_hxErUs42bBI_3,is the person in red wearing a hat,no,3
0e7d39SwHCA,v_0e7d39SwHCA_3,is the person in white wearing a hat,no,3
QIUxLD27NuI,v_QIUxLD27NuI_3,is the person in yellow wearing glasses,no,3
i5qTK0mInTc,v_i5qTK0mInTc_3,is the person in yellow wearing glasses,no,3
hQqoh0YxJYs,v_hQqoh0YxJYs_3,is the person in yellow wearing a hat,no,3
TnP6coXzbLY,v_TnP6coXzbLY_3,is the person in the video wearing a microphone,no,3
Y05GAiavfOg,v_Y05GAiavfOg_9,is the person in the video wearing shoes,yes,3
Ynvd8OuXKGw,v_Ynvd8OuXKGw_7,how about the dance in the video,good looking,8
SGAUpoTMSnA,v_SGAUpoTMSnA_10,how dangerous is the sport of kayaking,bit dangerous,8
5LGh56euaZs,v_5LGh56euaZs_10,how difficult is to dive,secondary,8
9snScUyE8_4,v_9snScUyE8_4_8,how difficult is the operation,simple,8
9SIPJd4Hls4,v_9SIPJd4Hls4_9,how difficult is the operation,simple,8
sRNqK_QZbMs,v_sRNqK_QZbMs_10,how difficult is the activity in the video,much simpler,8
SidTquTAtyk,v_SidTquTAtyk_10,how difficult is the activity of flying a kite in the video,more difficult,8
StGxFfLiYNU,v_StGxFfLiYNU_10,how difficult is to pile sand,much simpler,8
RlRrktN5iH4,v_RlRrktN5iH4_10,how difficult is the activity in the video,simple,8
nbOsU2Vmp1U,v_nbOsU2Vmp1U_8,how difficult is the operation,simple,8
40BPDWojssc,v_40BPDWojssc_7,how difficult is the operation,simple,8
16czjUF1AA4,v_16czjUF1AA4_10,how difficult is the sport in the video,difficulty,8
UzmsAb15Bso,v_UzmsAb15Bso_10,how safe is the activity of skateboarding,low,8
8kaQq1mR2ys,v_8kaQq1mR2ys_10,how safe is the activity of swimming,secondary,8
e0yu4WgiZUM,v_e0yu4WgiZUM_8,how safe is the activity of swimming,secondary,8
ETbbYC0OhL0,v_ETbbYC0OhL0_8,how safe is the activity in the video ,unsafe,8
rrpEOrMpBuE,v_rrpEOrMpBuE_10,what weather is it in the video,sunny,8
JR9LosQmMvg,v_JR9LosQmMvg_8,what weather is it in the video,sunny,8
jDlvGWOdcqU,v_jDlvGWOdcqU_10,what weather is it in the video,sunny,8
rsU73H6VyG8,v_rsU73H6VyG8_9,what weather is it in the video,cloudy,8
Jhcis4S2Vsg,v_Jhcis4S2Vsg_9,what weather is it in the video,sunny,8
JY9oOSfjj_E,v_JY9oOSfjj_E_10,what weather is it in the video,sunny,8
lUil9HfTzJ0,v_lUil9HfTzJ0_6,what weather is it in the video,sunny,8
K1OsjA-f17E,v_K1OsjA-f17E_9,what weather is it in the video,sunny,8
Jix3poZOeZA,v_Jix3poZOeZA_9,what weather is it in the video,sunny,8
jBlG0L_M96g,v_jBlG0L_M96g_10,what weather is it in the video,sunny,8
rWfQj0X8WU4,v_rWfQj0X8WU4_9,what weather is it in the video,sunny,8
RXT17X7lRoQ,v_RXT17X7lRoQ_9,what weather is it in the video,sunny,8
K1LiXUpoSmI,v_K1LiXUpoSmI_9,what weather is it in the video,sunny,8
kBTqTp0SKq8,v_kBTqTp0SKq8_9,what weather is it in the video,sunny,8
jWODw4vy45M,v_jWODw4vy45M_9,what weather is it in the video,sunny,8
s6fEIuHPJ4Y,v_s6fEIuHPJ4Y_7,how many athletes are there,2,7
jibbgUBuuSA,v_jibbgUBuuSA_7,how many athletes are there in the video,1,7
svNcNLEPKMc,v_svNcNLEPKMc_7,how many athletes are there in the video,5,7
V90CMuokf0c,v_V90CMuokf0c_8,how many people in black are there in the video,1,7
vHnZ3NrZER0,v_vHnZ3NrZER0_8,how many people in black are there in the video,1,7
7BUr2cN8CLs,v_7BUr2cN8CLs_8,how many blonde women are in the video,1,7
IclzwpxVvIk,v_IclzwpxVvIk_8,how many blonde women are in the video,1,7
ikUNgSw4Gys,v_ikUNgSw4Gys_8,how many blonde women are in the video,1,7
XI7qJHE61zo,v_XI7qJHE61zo_8,how many people in blue are there in the video,2,7
sfbgZOHLkII,v_sfbgZOHLkII_7,how many people are riding camels in video,2,7
dN8LBey17O8,v_dN8LBey17O8_6,how many parking lots are there in the video,2,7
BBKSKU6dGGk,v_BBKSKU6dGGk_9,how many parking lots are there in the video,2,7
ZAX6OojMg38,v_ZAX6OojMg38_9,how many cats are there in the video,1,7
FKtYeu2bJpA,v_FKtYeu2bJpA_8,how many chairs are there in video,3,7
26U3SkeZU6M,v_26U3SkeZU6M_7,how many people are there in video,1,7
mvRoVXRGVGw,v_mvRoVXRGVGw_7,how many people are there in video,2,7
96vBhCFBbQk,v_96vBhCFBbQk_8,how many people are there in video,1,7
9MN6GNhvwzA,v_9MN6GNhvwzA_8,how many people are there in video,2,7
9ZVWD0ZKXZg,v_9ZVWD0ZKXZg_7,how many people are there in video,2,7
mZYWfmsYQPA,v_mZYWfmsYQPA_9,how many people are there in video,1,7
Ki1bs5X_S5k,v_Ki1bs5X_S5k_8,how many children are playing,1,7
4JmFOPoKluM,v_4JmFOPoKluM_6,how many children are there in the video,4,7
k3WPc9HmtLM,v_k3WPc9HmtLM_7,how many children are there in the video,1,7
J9KjpzKM8oc,v_J9KjpzKM8oc_7,how many children are there in the video,1,7
H2fG7JRRMAs,v_H2fG7JRRMAs_8,how many children are there in the video,3,7
5mWZY2XkWSQ,v_5mWZY2XkWSQ_7,how many children are there in the video,2,7
rMj2JWNJzkw,v_rMj2JWNJzkw_7,how many coaches are there,1,7
k6pN0WRr2Ws,v_k6pN0WRr2Ws_7,how many coaches are there,2,7
4LpqPUWHH5k,v_4LpqPUWHH5k_7,how many coaches have appeared in the video,1,7
LjPKKqe-VO0,v_LjPKKqe-VO0_7,how many coaches have appeared in the video,1,7
sRNqK_QZbMs,v_sRNqK_QZbMs_7,how many coaches have appeared in the video,1,7
8kaQq1mR2ys,v_8kaQq1mR2ys_6,how many disabled people are in the video,1,7
0lbv0AE5gJQ,v_0lbv0AE5gJQ_8,how many disabled people are in the video,1,7
vzUeFzhVYLg,v_vzUeFzhVYLg_6,how many people are diving in the video,1,7
HJWwqjLf1I4,v_HJWwqjLf1I4_8,how many people are diving in the video,4,7
hQqoh0YxJYs,v_hQqoh0YxJYs_6,how many dogs are there in the video,1,7
8_fjIZkNHms,v_8_fjIZkNHms_6,how many dogs are there in the video,1,7
hIHeMA1oRrY,v_hIHeMA1oRrY_6,how many dogs are there in the video,1,7
1xtKGlUp4Vg,v_1xtKGlUp4Vg_8,how many dogs are there in the video,1,7
IGT0dIKDGCw,v_IGT0dIKDGCw_8,how many dogs are there in the video,1,7
1vTHJMMPZN0,v_1vTHJMMPZN0_6,how many dogs are there in the video,3,7
jWODw4vy45M,v_jWODw4vy45M_7,how many dogs are there in the video,2,7
uJAL31wAD2A,v_uJAL31wAD2A_6,how many dogs are there in the video,1,7
28LdZLfdmMQ,v_28LdZLfdmMQ_10,how many ducks are there in the video,4,7
v6P6bBPBXYw,v_v6P6bBPBXYw_8,how many goalkeepers are there in the video,2,7
VFC-V06hVj0,v_VFC-V06hVj0_8,how many people with hats are there in the video,1,7
K5jY2chByPw,v_K5jY2chByPw_7,how many horses are there,1,7
hvrKRg166eQ,v_hvrKRg166eQ_6,how many hosts are there in the video,3,7
HWFosaUWoSI,v_HWFosaUWoSI_6,how many houses are there in the video,1,7
paRAKx8svJ8,v_paRAKx8svJ8_6,how many judges are there in the video,4,7
mVAP-WyEc7w,v_mVAP-WyEc7w_10,how many knives are there in the video,3,7
IMMoglaJ3RY,v_IMMoglaJ3RY_8,how many men are there in the video,2,7
7vcihMnmssI,v_7vcihMnmssI_6,how many men are there in the video,4,7
xuvp0jKMqRU,v_xuvp0jKMqRU_7,how many men are there in the video,2,7
V08Q-DbT0GQ,v_V08Q-DbT0GQ_8,how many men are there in the video,1,7
8teo_0gxzgk,v_8teo_0gxzgk_6,how many men are there in the video,2,7
6VXQoPNphgI,v_6VXQoPNphgI_8,how many men are there in the video,1,7
V2UitlmX7Uo,v_V2UitlmX7Uo_8,how many men are there in the video,1,7
8tCRp3NKtkI,v_8tCRp3NKtkI_6,how many men are there in the video,1,7
uWfQcDvel84,v_uWfQcDvel84_8,how many men are wearing hats in the video,1,7
4UdxT6Zmero,v_4UdxT6Zmero_7,how many mowers are there in the video,1,7
UNKf15ALDh8,v_UNKf15ALDh8_8,how many pairs of gloves are there in the video,1,7
J1QB1y3vXLY,v_J1QB1y3vXLY_8,how many pairs of gloves are there in the video,1,7
Ynvd8OuXKGw,v_Ynvd8OuXKGw_6,how many people are dancing in the video,1,7
PTwe2IIo3To,v_PTwe2IIo3To_10,how many people are dancing in the video,6,7
1kkc9hDshP4,v_1kkc9hDshP4_8,how many people are dancing on the stage,3,7
IIPKxzPjrWg,v_IIPKxzPjrWg_8,how many people are diving in the video,2,7
QIUxLD27NuI,v_QIUxLD27NuI_8,how many people are playing rubiks in the video,2,7
3uaQ0cULMgc,v_3uaQ0cULMgc_8,how many people are there in the video,1,7
QImpWj3AJcY,v_QImpWj3AJcY_10,how many people are playing games in the video,4,7
FkbpD1zWdPw,v_FkbpD1zWdPw_9,how many people are playing in the video,2,7
7H1KylJRii8,v_7H1KylJRii8_7,how many people are playing in the video,1,7
K1LiXUpoSmI,v_K1LiXUpoSmI_7,how many people are playing in the video,2,7
1PNjVTM0Zto,v_1PNjVTM0Zto_7,how many people are playing tai chi in the video,1,7
m731tx8N5-Y,v_m731tx8N5-Y_7,how many people are playing the piano in the video,1,7
ZxCdhz4ep0s,v_ZxCdhz4ep0s_10,how many people are playing the piano in the video,1,7
JY9oOSfjj_E,v_JY9oOSfjj_E_7,how many people are skiing,2,7
6xBh3vzhgo4,v_6xBh3vzhgo4_8,how many people are surfing in the video,1,7
LvTwJTvluHE,v_LvTwJTvluHE_7,how many people are surfing in the video,1,7
lUmjnFf7IPQ,v_lUmjnFf7IPQ_7,how many people are there at the beginning of the video,3,7
sEcXR5b8HyY,v_sEcXR5b8HyY_7,how many people are there in the match,2,7
p54LLMnyg54,v_p54LLMnyg54_6,how many people are there in total,2,7
OysON6LbF6Y,v_OysON6LbF6Y_6,how many people are there in total,2,7
46NS8dT15Hw,v_46NS8dT15Hw_6,how many people are wearing blue clothes,2,7
an1R4BP97JY,v_an1R4BP97JY_8,how many people are wearing red clothes,1,7
er5jUsRr4y0,v_er5jUsRr4y0_10,how many people are there in the bathroom,3,7
atGMJc-DZ7w,v_atGMJc-DZ7w_6,how many people are there in the beginning of the video,4,7
JsPIzRsUtlE,v_JsPIzRsUtlE_7,how many people are there in the field,2,7
-Fk62y-1WHo,v_-Fk62y-1WHo_8,how many people are there in the room,1,7
DIVaPURJHPo,v_DIVaPURJHPo_9,how many people are there in the room,1,7
Gfu8e6R6jUU,v_Gfu8e6R6jUU_7,how many people are there in the video,11,7
-eJT11AuOa0,v_-eJT11AuOa0_6,how many people are there in the video,3,7
-YwrMtiqHKg,v_-YwrMtiqHKg_7,how many people are there in the video,1,7
